Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount_IDR,Age,Gender,Location,Mobile_Banking_Status,Has_Credit_Card,Has_Mutual_Fund
TXN-003563,BNK-0034,2025-01-08,QRIS Payment,388000.0,32,Female,Jabodetabek,Inactive,0,0
TXN-004316,BNK-0294,2025-01-08,Transfer Out,819000.0,35,Male,Bandung,Non-User,1,0
TXN-002149,BNK-0239,2025-01-08,Bill Payment,1145000.0,53,Male,Jabodetabek,Active,0,0
TXN-001729,BNK-0434,2025-01-08,QRIS Payment,296000.0,43,Female,Jabodetabek,Active,1,0
TXN-004305,BNK-0044,2025-01-08,QRIS Payment,49000.0,21,Female,Medan,Active,1,0
TXN-003864,BNK-0097,2025-01-09,Transfer Out,1353000.0,26,Male,Jabodetabek,Active,0,0
TXN-001862,BNK-0335,2025-01-09,QRIS Payment,262000.0,45,Male,Makassar,Active,0,0
TXN-005939,BNK-0278,2025-01-09,Transfer Out,4487000.0,41,Male,Surabaya,Non-User,0,0
TXN-005088,BNK-0334,2025-01-09,QRIS Payment,103000.0,61,Female,Medan,Active,0,0
TXN-004609,BNK-0234,2025-01-09,Bill Payment,253000.0,23,Male,Jabodetabek,Active,0,0
TXN-000866,BNK-0059,2025-01-09,Transfer Out,3991000.0,34,Female,Medan,Active,0,0
TXN-000402,BNK-0207,2025-01-09,QRIS Payment,115000.0,19,Female,Jabodetabek,Inactive,1,0
TXN-005709,BNK-0255,2025-01-09,Transfer Out,1271000.0,45,Male,Jabodetabek,Non-User,0,0
TXN-001140,BNK-0409,2025-01-09,QRIS Payment,25000.0,54,Male,Surabaya,Active,1,1
TXN-004030,BNK-0485,2025-01-09,QRIS Payment,357000.0,18,Male,Jabodetabek,Active,0,0
TXN-004824,BNK-0468,2025-01-09,Transfer Out,1199000.0,43,Male,Jabodetabek,Active,1,1
TXN-004984,BNK-0068,2025-01-09,Bill Payment,799000.0,35,Male,Jabodetabek,Non-User,1,0
TXN-004182,BNK-0155,2025-01-09,QRIS Payment,384000.0,62,Male,Jabodetabek,Inactive,0,1
TXN-001726,BNK-0162,2025-01-09,Transfer Out,3892000.0,24,Female,Makassar,Active,1,0
TXN-001372,BNK-0089,2025-01-10,QRIS Payment,231000.0,62,Female,Surabaya,Active,1,0
TXN-003843,BNK-0361,2025-01-10,ATM Withdrawal,701000.0,41,Male,Jabodetabek,Active,1,0
TXN-000648,BNK-0295,2025-01-10,QRIS Payment,291000.0,19,Male,Jabodetabek,Active,1,0
TXN-005034,BNK-0498,2025-01-10,Bill Payment,284000.0,29,Male,Surabaya,Inactive,1,0
TXN-003979,BNK-0352,2025-01-10,Transfer Out,4111000.0,50,Male,Bandung,Active,0,0
TXN-001715,BNK-0283,2025-01-10,Transfer Out,1873000.0,53,Male,Jabodetabek,Active,0,1
TXN-005777,BNK-0110,2025-01-10,QRIS Payment,491000.0,59,Female,Makassar,Inactive,0,0
TXN-003519,BNK-0116,2025-01-10,QRIS Payment,55000.0,25,Female,Jabodetabek,Inactive,0,0
TXN-001117,BNK-0048,2025-01-10,Transfer Out,1869000.0,43,Male,Jabodetabek,Non-User,1,0
TXN-005482,BNK-0368,2025-01-10,Transfer Out,1290000.0,59,Male,Jabodetabek,Inactive,1,0
TXN-005521,BNK-0400,2025-01-10,Bill Payment,592000.0,40,Male,Bandung,Inactive,0,1
TXN-002368,BNK-0084,2025-01-10,QRIS Payment,88000.0,35,Female,Jabodetabek,Active,0,0
TXN-005276,BNK-0372,2025-01-11,ATM Withdrawal,236000.0,57,Female,Jabodetabek,Active,0,0
TXN-002604,BNK-0052,2025-01-11,QRIS Payment,79000.0,64,Female,Jabodetabek,Active,0,1
TXN-003205,BNK-0249,2025-01-11,QRIS Payment,20000.0,57,Male,Bandung,Non-User,1,0
TXN-001220,BNK-0029,2025-01-11,Bill Payment,316000.0,42,Female,Bandung,Active,1,0
TXN-000422,BNK-0309,2025-01-11,Transfer Out,3167000.0,34,Male,Surabaya,Active,0,0
TXN-000603,BNK-0413,2025-01-11,ATM Withdrawal,1028000.0,61,Female,Jabodetabek,Inactive,0,0
TXN-003455,BNK-0435,2025-01-11,QRIS Payment,214000.0,40,Female,Jabodetabek,Inactive,1,1
TXN-001163,BNK-0458,2025-01-11,QRIS Payment,342000.0,46,Male,Jabodetabek,Active,0,0
TXN-001706,BNK-0448,2025-01-11,QRIS Payment,495000.0,56,Male,Bandung,Active,0,0
TXN-001654,BNK-0058,2025-01-12,ATM Withdrawal,1047000.0,31,Female,Jabodetabek,Non-User,0,0
TXN-005703,BNK-0320,2025-01-12,Bill Payment,1494000.0,44,Male,Jabodetabek,Non-User,1,0
TXN-000254,BNK-0204,2025-01-12,Bill Payment,701000.0,54,Female,Bandung,Active,0,0
TXN-000698,BNK-0150,2025-01-12,QRIS Payment,467000.0,21,Male,Makassar,Inactive,1,0
TXN-001470,BNK-0315,2025-01-12,QRIS Payment,199000.0,47,Male,Bandung,Active,1,0
TXN-003756,BNK-0413,2025-01-12,Transfer Out,1692000.0,61,Female,Jabodetabek,Inactive,0,0
TXN-003206,BNK-0038,2025-01-12,Transfer Out,3913000.0,54,Female,Jabodetabek,Inactive,0,0
TXN-002393,BNK-0283,2025-01-12,Transfer Out,2662000.0,53,Male,Jabodetabek,Active,0,1
TXN-005927,BNK-0413,2025-01-12,Transfer Out,1789000.0,61,Female,Jabodetabek,Inactive,0,0
TXN-002226,BNK-0319,2025-01-12,QRIS Payment,75000.0,25,Female,Makassar,Active,0,0
TXN-000419,BNK-0154,2025-01-12,Bill Payment,1278000.0,56,Male,Makassar,Active,0,0
TXN-002649,BNK-0369,2025-01-12,Transfer Out,458000.0,19,Male,Medan,Active,0,0
TXN-005363,BNK-0208,2025-01-12,QRIS Payment,138000.0,45,Male,Jabodetabek,Active,0,0
TXN-004835,BNK-0371,2025-01-12,QRIS Payment,77000.0,34,Female,Jabodetabek,Active,0,1
TXN-002210,BNK-0431,2025-01-12,Bill Payment,999000.0,45,Female,Surabaya,Active,1,0
TXN-000605,BNK-0497,2025-01-12,Bill Payment,1044000.0,41,Female,Jabodetabek,Inactive,0,1
TXN-003682,BNK-0113,2025-01-13,Transfer Out,1686000.0,45,Female,Jabodetabek,Active,1,0
TXN-005046,BNK-0145,2025-01-13,Bill Payment,1181000.0,59,Female,Surabaya,Active,0,0
TXN-002840,BNK-0019,2025-01-13,Transfer Out,2245000.0,41,Male,Jabodetabek,Active,0,0
TXN-004910,BNK-0188,2025-01-13,Transfer Out,2643000.0,44,Female,Jabodetabek,Inactive,1,1
TXN-003471,BNK-0327,2025-01-13,QRIS Payment,138000.0,64,Female,Jabodetabek,Inactive,0,0
TXN-001141,BNK-0014,2025-01-13,Transfer Out,3743000.0,57,Male,Jabodetabek,Non-User,0,0
TXN-003133,BNK-0085,2025-01-13,Transfer Out,3063000.0,64,Female,Jabodetabek,Inactive,0,0
TXN-001306,BNK-0192,2025-01-13,QRIS Payment,268000.0,59,Female,Bandung,Non-User,0,0
TXN-003069,BNK-0111,2025-01-13,Transfer Out,4855000.0,56,Male,Bandung,Non-User,1,0
TXN-005630,BNK-0238,2025-01-13,QRIS Payment,187000.0,37,Male,Jabodetabek,Non-User,0,1
TXN-000077,BNK-0318,2025-01-13,Bill Payment,1374000.0,62,Female,Jabodetabek,Inactive,0,0
TXN-002943,BNK-0029,2025-01-13,Transfer Out,550000.0,42,Female,Bandung,Active,1,0
TXN-004791,BNK-0471,2025-01-13,QRIS Payment,161000.0,56,Male,Jabodetabek,Active,0,1
TXN-005451,BNK-0302,2025-01-13,QRIS Payment,469000.0,50,Male,Bandung,Active,0,0
TXN-003952,BNK-0089,2025-01-13,Transfer Out,848000.0,62,Female,Surabaya,Active,1,0
TXN-005347,BNK-0026,2025-01-13,Bill Payment,946000.0,29,Male,Jabodetabek,Active,1,0
TXN-004542,BNK-0368,2025-01-13,Bill Payment,1409000.0,59,Male,Jabodetabek,Inactive,1,0
TXN-005851,BNK-0215,2025-01-13,Transfer Out,873000.0,19,Male,Jabodetabek,Active,1,0
TXN-002935,BNK-0455,2025-01-13,QRIS Payment,459000.0,33,Female,Jabodetabek,Active,1,0
TXN-001361,BNK-0479,2025-01-13,QRIS Payment,60000.0,53,Male,Jabodetabek,Active,0,0
TXN-003015,BNK-0141,2025-01-14,Bill Payment,1350000.0,26,Male,Medan,Active,0,0
TXN-004279,BNK-0477,2025-01-14,QRIS Payment,92000.0,27,Female,Jabodetabek,Non-User,1,0
TXN-002739,BNK-0422,2025-01-14,Bill Payment,473000.0,52,Male,Jabodetabek,Inactive,1,0
TXN-004285,BNK-0438,2025-01-14,QRIS Payment,45000.0,18,Female,Bandung,Active,0,0
TXN-004635,BNK-0199,2025-01-14,Bill Payment,538000.0,58,Female,Medan,Active,1,0
TXN-002581,BNK-0163,2025-01-14,Bill Payment,227000.0,39,Female,Makassar,Active,0,0
TXN-001185,BNK-0112,2025-01-14,Transfer Out,259000.0,58,Female,Jabodetabek,Active,0,0
TXN-004354,BNK-0180,2025-01-14,QRIS Payment,179000.0,18,Female,Bandung,Active,0,0
TXN-000874,BNK-0479,2025-01-14,QRIS Payment,49000.0,53,Male,Jabodetabek,Active,0,0
TXN-001171,BNK-0143,2025-01-14,QRIS Payment,114000.0,32,Female,Bandung,Active,1,0
TXN-003958,BNK-0481,2025-01-14,Transfer Out,3166000.0,48,Male,Medan,Active,1,0
TXN-001222,BNK-0474,2025-01-15,QRIS Payment,383000.0,47,Male,Surabaya,Inactive,0,0
TXN-002775,BNK-0178,2025-01-15,Transfer Out,523000.0,56,Male,Jabodetabek,Active,1,0
TXN-002660,BNK-0376,2025-01-15,Transfer Out,4181000.0,56,Female,Jabodetabek,Active,1,0
TXN-005855,BNK-0026,2025-01-15,QRIS Payment,487000.0,29,Male,Jabodetabek,Active,1,0
TXN-004257,BNK-0392,2025-01-15,QRIS Payment,187000.0,31,Male,Jabodetabek,Active,0,0
TXN-001832,BNK-0220,2025-01-15,QRIS Payment,253000.0,49,Female,Jabodetabek,Active,1,0
TXN-004201,BNK-0387,2025-01-15,QRIS Payment,256000.0,37,Female,Makassar,Inactive,0,0
TXN-004686,BNK-0186,2025-01-15,QRIS Payment,167000.0,23,Female,Jabodetabek,Active,0,0
TXN-004396,BNK-0013,2025-01-15,ATM Withdrawal,294000.0,53,Male,Jabodetabek,Active,0,0
TXN-003495,BNK-0041,2025-01-15,Bill Payment,1277000.0,26,Female,Jabodetabek,Active,0,0
TXN-000232,BNK-0216,2025-01-15,Bill Payment,299000.0,61,Female,Surabaya,Inactive,0,0
TXN-003509,BNK-0227,2025-01-16,Transfer Out,2268000.0,51,Male,Makassar,Active,0,0
TXN-000628,BNK-0277,2025-01-16,QRIS Payment,116000.0,37,Male,Jabodetabek,Non-User,1,0
TXN-003743,BNK-0470,2025-01-16,QRIS Payment,389000.0,38,Male,Bandung,Inactive,1,0
TXN-004950,BNK-0420,2025-01-16,ATM Withdrawal,1668000.0,47,Female,Bandung,Non-User,0,0
TXN-003718,BNK-0334,2025-01-16,QRIS Payment,314000.0,61,Female,Medan,Active,0,0
TXN-004556,BNK-0256,2025-01-16,Transfer Out,988000.0,42,Male,Medan,Inactive,0,0
TXN-005994,BNK-0012,2025-01-16,Bill Payment,265000.0,41,Female,Jabodetabek,Active,0,0
TXN-003693,BNK-0499,2025-01-16,QRIS Payment,185000.0,52,Female,Medan,Inactive,1,0
TXN-003658,BNK-0059,2025-01-16,Transfer Out,3122000.0,34,Female,Medan,Active,0,0
TXN-005671,BNK-0100,2025-01-16,QRIS Payment,118000.0,61,Female,Surabaya,Inactive,0,0
TXN-000094,BNK-0003,2025-01-16,QRIS Payment,217000.0,32,Female,Jabodetabek,Inactive,0,0
TXN-001074,BNK-0405,2025-01-16,Bill Payment,171000.0,59,Female,Jabodetabek,Inactive,0,0
TXN-003100,BNK-0289,2025-01-16,QRIS Payment,419000.0,52,Male,Bandung,Active,0,0
TXN-004643,BNK-0479,2025-01-16,QRIS Payment,16000.0,53,Male,Jabodetabek,Active,0,0
TXN-003282,BNK-0479,2025-01-16,QRIS Payment,375000.0,53,Male,Jabodetabek,Active,0,0
TXN-004107,BNK-0451,2025-01-16,QRIS Payment,204000.0,46,Male,Jabodetabek,Active,0,0
TXN-000151,BNK-0273,2025-01-16,ATM Withdrawal,1991000.0,52,Male,Surabaya,Non-User,0,0
TXN-005014,BNK-0479,2025-01-17,Transfer Out,4248000.0,53,Male,Jabodetabek,Active,0,0
TXN-004978,BNK-0279,2025-01-17,QRIS Payment,280000.0,50,Male,Medan,Active,0,0
TXN-005175,BNK-0395,2025-01-17,ATM Withdrawal,1777000.0,32,Female,Jabodetabek,Non-User,0,0
TXN-001227,BNK-0116,2025-01-17,ATM Withdrawal,1533000.0,25,Female,Jabodetabek,Inactive,0,0
TXN-000036,BNK-0147,2025-01-17,QRIS Payment,280000.0,49,Female,Jabodetabek,Inactive,1,0
TXN-001774,BNK-0303,2025-01-17,Bill Payment,539000.0,31,Male,Jabodetabek,Non-User,0,0
TXN-005837,BNK-0313,2025-01-17,Transfer Out,3499000.0,39,Male,Surabaya,Inactive,1,0
TXN-000137,BNK-0287,2025-01-17,Bill Payment,127000.0,52,Female,Medan,Inactive,0,0
TXN-003903,BNK-0391,2025-01-17,QRIS Payment,117000.0,33,Female,Jabodetabek,Active,0,0
TXN-003223,BNK-0381,2025-01-17,Transfer Out,3402000.0,42,Female,Bandung,Inactive,0,0
TXN-001483,BNK-0250,2025-01-17,QRIS Payment,49000.0,56,Female,Jabodetabek,Inactive,1,1
TXN-002042,BNK-0447,2025-01-17,QRIS Payment,438000.0,33,Male,Jabodetabek,Active,1,0
TXN-003349,BNK-0157,2025-01-17,Transfer Out,4445000.0,60,Female,Medan,Active,1,0
TXN-002648,BNK-0230,2025-01-18,QRIS Payment,354000.0,28,Female,Surabaya,Non-User,0,0
TXN-002378,BNK-0225,2025-01-18,QRIS Payment,107000.0,41,Male,Surabaya,Inactive,1,1
TXN-001966,BNK-0296,2025-01-18,QRIS Payment,277000.0,52,Male,Medan,Active,0,0
TXN-005696,BNK-0075,2025-01-18,QRIS Payment,310000.0,48,Male,Jabodetabek,Active,1,0
TXN-004400,BNK-0042,2025-01-18,Transfer Out,1202000.0,56,Female,Surabaya,Inactive,1,0
TXN-005196,BNK-0278,2025-01-18,Transfer Out,4871000.0,41,Male,Surabaya,Non-User,0,0
TXN-001914,BNK-0448,2025-01-18,ATM Withdrawal,723000.0,56,Male,Bandung,Active,0,0
TXN-004923,BNK-0010,2025-01-19,Transfer Out,935000.0,28,Male,Jabodetabek,Active,1,0
TXN-001712,BNK-0005,2025-01-19,QRIS Payment,357000.0,25,Female,Jabodetabek,Inactive,1,1
TXN-001021,BNK-0079,2025-01-19,QRIS Payment,112000.0,40,Male,Jabodetabek,Non-User,1,0
TXN-002990,BNK-0200,2025-01-19,Transfer Out,585000.0,29,Male,Makassar,Active,0,0
TXN-002570,BNK-0194,2025-01-19,ATM Withdrawal,1422000.0,41,Male,Jabodetabek,Active,0,0
TXN-002460,BNK-0096,2025-01-19,Transfer Out,3769000.0,24,Male,Jabodetabek,Inactive,0,0
TXN-001875,BNK-0141,2025-01-19,QRIS Payment,16000.0,26,Male,Medan,Active,0,0
TXN-002339,BNK-0106,2025-01-19,QRIS Payment,388000.0,52,Female,Jabodetabek,Active,0,1
TXN-002286,BNK-0068,2025-01-19,QRIS Payment,286000.0,35,Male,Jabodetabek,Non-User,1,0
TXN-002887,BNK-0378,2025-01-20,QRIS Payment,496000.0,59,Male,Jabodetabek,Active,1,1
TXN-003002,BNK-0334,2025-01-20,Transfer Out,3272000.0,61,Female,Medan,Active,0,0
TXN-001008,BNK-0204,2025-01-20,QRIS Payment,70000.0,54,Female,Bandung,Active,0,0
TXN-003014,BNK-0190,2025-01-20,QRIS Payment,278000.0,54,Female,Jabodetabek,Inactive,0,1
TXN-001098,BNK-0208,2025-01-20,Bill Payment,846000.0,45,Male,Jabodetabek,Active,0,0
TXN-003405,BNK-0007,2025-01-20,ATM Withdrawal,1873000.0,56,Male,Medan,Active,1,0
TXN-004347,BNK-0234,2025-01-20,QRIS Payment,227000.0,23,Male,Jabodetabek,Active,0,0
TXN-000067,BNK-0471,2025-01-20,Bill Payment,363000.0,56,Male,Jabodetabek,Active,0,1
TXN-000921,BNK-0442,2025-01-20,ATM Withdrawal,1352000.0,49,Female,Jabodetabek,Active,1,0
TXN-003653,BNK-0260,2025-01-20,QRIS Payment,488000.0,59,Male,Makassar,Active,0,0
TXN-001680,BNK-0208,2025-01-20,Bill Payment,133000.0,45,Male,Jabodetabek,Active,0,0
TXN-000501,BNK-0366,2025-01-20,Transfer Out,3130000.0,19,Female,Jabodetabek,Non-User,0,0
TXN-002239,BNK-0471,2025-01-21,QRIS Payment,52000.0,56,Male,Jabodetabek,Active,0,1
TXN-004843,BNK-0275,2025-01-21,QRIS Payment,494000.0,33,Female,Medan,Active,1,0
TXN-005096,BNK-0355,2025-01-21,QRIS Payment,470000.0,42,Female,Jabodetabek,Active,0,0
TXN-001665,BNK-0355,2025-01-21,ATM Withdrawal,1040000.0,42,Female,Jabodetabek,Active,0,0
TXN-000154,BNK-0436,2025-01-21,QRIS Payment,264000.0,26,Female,Jabodetabek,Active,1,0
TXN-003115,BNK-0080,2025-01-21,Bill Payment,636000.0,57,Female,Surabaya,Active,0,0
TXN-000230,BNK-0247,2025-01-21,Bill Payment,1442000.0,58,Female,Surabaya,Active,1,0
TXN-003925,BNK-0191,2025-01-21,ATM Withdrawal,1341000.0,50,Female,Makassar,Inactive,1,0
TXN-003701,BNK-0248,2025-01-21,QRIS Payment,273000.0,50,Female,Jabodetabek,Active,0,1
TXN-002189,BNK-0284,2025-01-21,ATM Withdrawal,366000.0,55,Female,Medan,Inactive,0,0
TXN-005462,BNK-0153,2025-01-21,Transfer Out,1945000.0,40,Male,Bandung,Active,0,0
TXN-003941,BNK-0494,2025-01-21,QRIS Payment,114000.0,49,Male,Medan,Active,1,0
TXN-004301,BNK-0422,2025-01-21,QRIS Payment,367000.0,52,Male,Jabodetabek,Inactive,1,0
TXN-000436,BNK-0493,2025-01-22,QRIS Payment,35000.0,45,Male,Jabodetabek,Non-User,0,1
TXN-000721,BNK-0247,2025-01-22,QRIS Payment,55000.0,58,Female,Surabaya,Active,1,0
TXN-005496,BNK-0046,2025-01-22,QRIS Payment,224000.0,31,Male,Jabodetabek,Inactive,0,0
TXN-000348,BNK-0322,2025-01-22,QRIS Payment,147000.0,51,Female,Makassar,Inactive,0,0
TXN-001878,BNK-0337,2025-01-22,ATM Withdrawal,218000.0,46,Male,Bandung,Non-User,0,0
TXN-004290,BNK-0236,2025-01-22,Transfer Out,1374000.0,46,Male,Jabodetabek,Active,0,0
TXN-001930,BNK-0491,2025-01-22,ATM Withdrawal,1651000.0,33,Male,Jabodetabek,Non-User,0,0
TXN-002560,BNK-0020,2025-01-22,Bill Payment,1057000.0,61,Female,Surabaya,Active,0,0
TXN-003158,BNK-0103,2025-01-22,QRIS Payment,114000.0,28,Female,Jabodetabek,Non-User,0,0
TXN-004985,BNK-0463,2025-01-23,Transfer Out,3494000.0,47,Female,Makassar,Inactive,0,0
TXN-001561,BNK-0384,2025-01-23,Bill Payment,839000.0,24,Female,Surabaya,Active,0,0
TXN-001538,BNK-0221,2025-01-23,QRIS Payment,228000.0,21,Female,Jabodetabek,Active,0,0
TXN-004857,BNK-0063,2025-01-23,Bill Payment,487000.0,19,Male,Jabodetabek,Non-User,0,0
TXN-000555,BNK-0187,2025-01-23,Bill Payment,1279000.0,25,Female,Medan,Active,0,0
TXN-004393,BNK-0164,2025-01-23,Transfer Out,296000.0,45,Male,Jabodetabek,Active,1,0
TXN-005425,BNK-0014,2025-01-23,QRIS Payment,16000.0,57,Male,Jabodetabek,Non-User,0,0
TXN-000468,BNK-0127,2025-01-23,QRIS Payment,350000.0,44,Female,Jabodetabek,Active,0,0
TXN-001779,BNK-0149,2025-01-23,QRIS Payment,342000.0,49,Female,Jabodetabek,Inactive,1,1
TXN-000713,BNK-0420,2025-01-23,QRIS Payment,472000.0,47,Female,Bandung,Non-User,0,0
